Unnamed: 0,anchor,host_name,IP,avg_rtt,min_rtt,max_rtt,latitude,longitude,distance,location
,IN-40,hathway.net,192.168.2.1,0.8126022213306912,0.7771882195337372,0.238,23.08373561277475,72.5844615694901,1.0176827124031356,Gandhinagar
,IN-39,iisc.ac.in,13.71.49.222,26.23921775060704,27.22674307534093,27.024400521054055,18.568530083675565,73.46124794620798,19.014399324130096,Pune
,IN-28,jio.in,59.160.150.5,26.698789741215844,26.060364200781496,28.081450130913392,22.93773513779484,72.39968426752019,4.004332716844184,Ahmedabad
,IN-40,hathway.net,172.25.133.182,14.975615683151027,10.471255116127082,19.269250047516486,,,4.970454196813576,nan
,IN-V2-51,hathway.net,136.232.27.246,34.16355248830865,33.544403558878074,33.95852714183962,19.14164253901184,73.20728408835235,7.969812748981952,Navi Mumbai
,IN-28,uidai.gov.in,192.168.0.1,0.49570799618229444,0.30307421758054276,0.6763551197775842,13.062675902381175,80.58275920744228,1.0,Chennai
,IN-19,www.irctc.in,125.16.149.129,10.141018030669674,9.986331102088569,10.287518546453999,23.442504320836566,85.10266839994311,3.0326499172803323,Ranchi
,IN-28,metro.in,180.87.37.33,27.558512605541296,27.325921153288263,28.37546860263496,13.093411585849179,80.57683836906565,7.042857134763358,Chennai
,IN-44,hathway.net,61.246.138.73,21.515141572324506,20.051531867265126,23.69262252123895,25.477748463580525,81.71994960619104,2.04493978761934,Allahabad
,IN-V2-208,iisc.ac.in,10.209.0.1,0.9907681290954625,1.2473376356364168,0.9122457897138794,,,1.9962158530728433,nan
,IN-47,hathway.net,115.110.210.38,23.34595361249006,18.270614588062053,29.58478887942495,28.70386387895696,77.39475735770124,5.965873526167161,Delhi
,IN-12,meghalaya.gov.in,116.119.72.56,8.124979000327288,5.005848369844394,10.5601977899019,28.60666968960192,77.23941113734699,4.027591118447339,Delhi
,IN-V2-164,iisc.ac.in,104.44.12.126,20.954252329636905,20.466968373283713,22.199540939197338,13.02622825669813,80.31021729123482,14.002128205401533,Chennai
,IN-44,hathway.net,61.246.138.73,23.72367077670721,24.3245204322043,25.67126207896486,25.3942620494977,81.86842672897988,1.9990280868565726,Allahabad
,IN-62,titan.co.in,172.16.4.152,62.90528132455809,25.300094686733072,101.09925894870365,,,4.999016002126746,nan
,IN-62,hathway.net,136.232.186.45,80.46733483129766,80.62090464607199,80.33668716454889,19.001903374541488,72.99124365330431,4.007500126098186,Navi Mumbai
,IN-28,sbi.co.in,192.168.0.1,1.3657961120045583,0.8256436733724646,0.8192975099734892,13.083408833289358,80.41139687092365,1.002846962244947,Chennai
